Features,rf_mean_x,rf_75%_x,rf_50%_x,rf_25%_x,rf_mean_y,rf_75%_y,rf_50%_y,rf_25%_y,rf_mean,rf_75%,rf_50%,rf_25%,dts_mean_x,dts_75%_x,dts_50%_x,dts_25%_x,dts_mean_y,dts_75%_y,dts_50%_y,dts_25%_y,dts_mean,dts_75%,dts_50%,dts_25%
urlLength:<=100,0.02946909195018902,0.034390785968602636,0.029762547837310194,0.02420578448209092,0.026557671634847107,0.029942364694838037,0.026992788990159822,0.023003982236949338,0.024155548498024038,0.02792982414112755,0.02420454010739527,0.01988195670421361,0.008042374845009448,0.00748419918841805,0.006439040412425613,0.004388535395026048,0.0029592502055151406,0.003993125540060471,0.0018599025723435932,0.0,0.012013102241240999,0.01665649502823458,0.013217013647362684,0.0056387889373202375
Is_gverify,0.02429476726371025,0.026503851929037425,0.023246913775956238,0.021895670793408963,0.033377231191836734,0.03642884707255553,0.031815032430963994,0.029080958175474077,0.03363526365711565,0.0370067214265869,0.033379479851436474,0.029553281916669297,0.008840070936078838,0.012129879713512742,0.004610506845267811,0.002130644635924708,0.02592390951144463,0.0358962010940468,0.02532836826288502,0.014471904227138782,0.030470511737047856,0.03730131389352794,0.030766257560611916,0.02040782025200113
urlLength:<=50,0.023131520527188688,0.025032234336179016,0.022201179531003586,0.02031755394271729,0.018850145277532676,0.021363334519657277,0.018090626949920755,0.016825576164961983,0.026029454121744438,0.027928481036201637,0.02606790107347163,0.023194953072703316,0.0019141484150113582,0.0,0.0,0.0,0.0020427050815830577,0.0016856428728979171,0.0,0.0,0.0019090252611669183,0.001445145745122832,0.0,0.0
Is_msverify,0.014238101896803967,0.017184968326365027,0.014523762210610597,0.012014807911764156,0.016007161561100464,0.017931981292511435,0.016379300609662452,0.014208742061826787,0.018194081374042225,0.021959667904356724,0.01924539486767344,0.014611064522547445,0.006504356465996406,0.011476000647015174,0.00404963695697456,0.0,0.011389345999561595,0.020791053927895653,0.01117014750385023,0.001386648322102415,0.008915867502701933,0.012537048581005517,0.011262434832220336,0.0
urlLength:>100,0.012246646697816879,0.014024762538190662,0.012865319643958043,0.009901599391044218,0.012307447268100374,0.013920363608796818,0.01163256428629473,0.009780012254068656,0.012921098206634275,0.01631416993715626,0.012205124011197863,0.01089032213393867,0.004146643862072789,0.00681295310724261,0.0048960357541510575,0.0,0.00460183733167781,0.01034036159554718,0.0005419981959699493,0.0,0.001112391633526505,0.00099319395025194,0.0,0.0
https,0.001979170151748453,0.002495638780135229,0.0017940521589888017,0.0014751214958615433,0.0012238805024193796,0.001443660504296302,0.0011831662217887968,0.0009140353700626815,0.0008135164447876002,0.0010400050051978292,0.0008055543105780372,0.0005447036370618131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
line,0.0019432724480524534,0.0022482229321112365,0.002024352583013889,0.0013845429896028297,0.0024098324683453085,0.0029834473375775013,0.002237532418508427,0.0017411644875888802,0.0027947753629063033,0.0036395135309663477,0.003196304658335353,0.0018343357284656254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Description tag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEO tag name=description,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEO tag name=title,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Keywords tag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Corp_Rate_All:60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEO tag property=og:keywords,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEO tag property=og:description,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEO tag name=keywords,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEO tag property=og:title,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Corp_Rate_Script:20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Corp_Rate_Link:100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Corp_Rate_Link:80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Corp_Rate_Link:60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Corp_Rate_All:80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Corp_Rate_All:100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEO tag property=og:site,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Corp_Rate_Script:40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Corp_Rate_Img:80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Corp_Rate_Img:60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Corp_Rate_Img:40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Corp_Rate_Img:20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Corp_Rate_Script:100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Corp_Rate_Script:80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Corp_Rate_Script:60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Corp_Rate_Img:100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
